YYMMDD;TIME;LOCATION;DEPTH;MAG;EVALMODE;Latitude;Longitude
19861226;7475100;Assen;10;28;manual;52,992;6,548
19871214;20494800;Hooghalen;15;25;manual;52,928;6,552
19891201;20091680;Kwadijk;12;27;manual;52,529;4,971
19910215;2111654;Emmen;30;22;manual;52,771;6,914
19910425;10263158;Eleveld;30;26;manual;52,952;6,575
19910808;4011422;Assen;30;27;manual;52,965;6,573
19911205;245500;Middelstum;30;24;manual;53,358;6,657
19920523;15291143;Geelbroek;30;26;manual;52,953;6,572
19920524;18000595;Assen;30;16;manual;52,956;6,562
19920611;17093700;Roswinkel;15;27;manual;52,831;7,32
19920722;23231320;Assen;30;26;manual;52,961;6,57
19921206;20343201;Loppersum;30;13;manual;53,32;6,74
19921211;13005005;Froombosch;30;14;manual;53,21;6,747
19930212;11460091;Tjuchem;30;10;manual;53,294;6,868
19930305;22272522;Langelo;30;15;manual;53,84;6,465
19930312;22124152;Sappemeer;30;9;manual;53,16;6,805
19930326;18342116;Overschild;30;11;manual;53,285;6,795
19930505;20083279;Westerbroek;30;15;manual;53,177;6,685
19930514;19394200;Wirdum;30;11;manual;53,305;6,793
19930627;2085180;Westerwijtwerd;30;14;manual;53,316;6,65
19930627;2571006;Stedum;30;10;manual;53,315;6,66
19930710;223451;Oosterwijtwerd;30;14;manual;53,333;6,837
19930727;13391807;Oosterwijtwerd;30;8;manual;53,336;6,808
19930823;512169;Appingedam;30;7;manual;53,332;6,848
19930904;2245015;'t Zandt;30;14;manual;53,363;6,765
19930922;17370382;Eppenhuizen;30;20;manual;53,368;6,675
19930925;213346;Slochteren;30;9;manual;53,208;6,812
19931123;12314768;Slochteren;30;22;manual;53,202;6,82
19931222;2044279;Ten Post;30;16;manual;53,294;6,753
19940204;21323891;Garrelsweer;30;13;manual;53,306;6,777
19940205;15100580;Roswinkel;15;29;manual;52,833;7,45
19940228;21001659;Garsthuizen;30;6;manual;53,37;6,72
19940302;10363809;Overschild;30;15;manual;53,279;6,807
19940306;20023123;Appingedam;30;10;manual;53,323;6,805
19940314;9310118;Leermens;30;13;manual;53,345;6,808
19940314;10440000;Zandeweer;30;16;manual;53,39;6,68
19940314;22320967;Kolham;30;11;manual;53,17;6,747
19940324;5290380;Farmsum;30;8;manual;53,316;6,962
19940404;18461165;Overschild;30;13;manual;53,275;6,828
19940507;20085367;Froombosch;30;10;manual;53,194;6,798
19940510;1341197;Schildwolde;30;8;manual;53,226;6,835
19940605;2145079;Meedhuizen;30;10;manual;53,294;6,95
19940606;4082616;Zuidbroek;30;10;manual;53,156;6,823
19940608;22202455;Huizinge;30;15;manual;53,359;6,682
19940626;17443888;Appingedam;30;10;manual;53,335;6,852
19940627;20585388;Roodeschool;30;17;manual;53,423;6,77
19940701;6274261;Onderdendam;30;27;manual;53,324;6,613
19940719;8172967;Garsthuizen;30;20;manual;53,372;6,743
19940730;9182078;Toornwerd;10;27;manual;53,351;6,628
19940730;9532968;Warffum;10;13;manual;53,365;6,577
19940806;18021920;Bergen;25;30;manual;52,654;4,711
19940816;14373985;Anloo;30;23;manual;53,61;6,698
19940907;22060430;Warffum;30;14;manual;53,402;6,575
19940909;15565438;Erica;30;17;manual;52,714;6,915
19940921;1125813;Bergen;25;32;manual;52,658;4,708
19940923;19500000;Schoonebeek;30;13;manual;52,67;6,88
19941026;21410183;Luddeweer;30;12;manual;53,246;6,737
19941213;21504658;Overschild;30;10;manual;53,282;6,815
19950124;9383919;Delfzijl;30;13;manual;53,316;6,897
19950131;19475562;Annen;30;20;manual;53,63;6,72
19950201;313200;Nieuw Annerveen;30;12;manual;53,79;6,775
19950321;16374434;Eems-Dollard (nabij Eemshaven);30;11;manual;53,438;6,913
19950406;8034345;Huizinge;30;20;manual;53,36;6,68
19950426;17354964;Zuidlaren;30;7;manual;53,84;6,668
19950515;9523935;Meedhuizen;30;18;manual;53,309;6,945
19950603;22063820;Tolbert;30;9;manual;53,19;6,358
19950620;8594012;Roswinkel;20;27;manual;52,832;7,3
19950715;16053914;Slochteren;30;10;manual;53,206;6,823
19950721;23244048;Farmsum;30;11;manual;53,276;6,963
19950913;21343683;Loppersum;30;11;manual;53,335;6,728
19951018;342736;Peize;30;13;manual;53,129;6,492
19951102;1070071;Westeremden;30;16;manual;53,352;6,718
19951104;5504321;Uithuizermeeden;30;18;manual;53,47;6,722
19951120;2205473;Garrelsweer;30;11;manual;53,315;6,762
19951224;13263416;Jisp;30;23;manual;52,511;4,847
19951230;2040894;Roswinkel;30;12;manual;52,845;7,48
19960212;14022424;Overschild;30;9;manual;53,256;6,767
19960224;3310756;Emmen;30;18;manual;52,761;6,908
19960225;13550930;Roswinkel;15;9;manual;52,838;7,62
19960229;8073442;Middelstum;30;20;manual;53,343;6,64
19960306;9205020;Roswinkel;15;16;manual;52,838;7,62
19960312;514467;Nieuw Annerveen;30;11;manual;53,64;6,79
19960312;12134817;Roswinkel;20;26;manual;52,838;7,59
19960312;18341268;Zeegse;30;8;manual;53,72;6,653
19960314;22235830;Roswinkel;20;11;manual;52,838;7,64
19960316;4163277;Appingedam;30;14;manual;53,298;6,848
19960321;18190548;Roswinkel;20;18;manual;52,833;7,54
19960401;18534519;Amen;30;6;manual;52,94;6,608
19960401;23281839;Nieuw Annerveen;30;1;manual;53,67;6,79
19960409;13583443;Eexterveen;30;11;manual;53,59;6,798
19960415;3413120;Ten Boer;30;9;manual;53,289;6,688
19960417;19051218;Holwierde;30;9;manual;53,357;6,883
19960421;21360232;Rottum;30;5;manual;53,376;6,595
19960425;23222044;Holwierde;30;9;manual;53,356;6,863
19960607;4205664;Annerveenschekanaal;30;12;manual;53,85;6,78
19960607;8340701;Garrelsweer;30;13;manual;53,309;6,778
19960607;14591082;Wildervank;30;7;manual;53,82;6,832
19960616;2532788;Geelbroek;30;17;manual;52,947;6,568
