"ID";"Geslacht";"Leeftijd";"Marges";"Perioden";"Ondergewicht_1";"NormaalGewicht_2";"Overgewicht_3";"MatigOvergewicht_4";"ErnstigOvergewicht_5";"OpgegevenLengte20JaarOfOuder_6";"OpgegevenGewicht20JaarOfOuder_7"
"0";"T001038";"10000";"MW00000";"1981JJ00";"     3.3";"    69.3";"    27.4";"22.9";"4.4";"   171.5";"    70.6"
"1";"T001038";"10000";"MW00000";"1982JJ00";"     3.7";"    69.5";"    26.7";"22.6";"4.1";"   171.5";"    70.4"
"2";"T001038";"10000";"MW00000";"1983JJ00";"     3.7";"    68.9";"    27.4";"23.1";"4.3";"   171.6";"    70.6"
"3";"T001038";"10000";"MW00000";"1984JJ00";"     3.9";"    68.7";"    27.3";"22.8";"4.5";"   171.8";"    70.8"
"4";"T001038";"10000";"MW00000";"1985JJ00";"     4.0";"    68.7";"    27.3";"22.9";"4.3";"   171.8";"    70.7"
"5";"T001038";"10000";"MW00000";"1986JJ00";"     4.1";"    67.8";"    28.1";"23.9";"4.2";"   172.0";"    71.1"
"6";"T001038";"10000";"MW00000";"1987JJ00";"     3.4";"    67.5";"    29.1";"24.6";"4.5";"   172.2";"    71.5"
"7";"T001038";"10000";"MW00000";"1988JJ00";"     3.5";"    68.1";"    28.4";"24.2";"4.1";"   172.4";"    71.4"
"8";"T001038";"10000";"MW00000";"1989JJ00";"     3.3";"    66.8";"    29.9";"24.5";"5.4";"   172.3";"    72.0"
"9";"T001038";"10000";"MW00000";"1990JJ00";"     3.6";"    66.4";"    30.0";"24.4";"5.6";"   172.8";"    72.1"
"10";"T001038";"10000";"MW00000";"1991JJ00";"     3.2";"    66.3";"    30.5";"25.4";"5.1";"   172.7";"    72.2"
"11";"T001038";"10000";"MW00000";"1992JJ00";"     3.5";"    64.9";"    31.7";"26.0";"5.6";"   172.7";"    72.5"
"12";"T001038";"10000";"MW00000";"1993JJ00";"     3.5";"    64.8";"    31.7";"26.0";"5.7";"   173.0";"    72.6"
"13";"T001038";"10000";"MW00000";"1994JJ00";"     3.0";"    63.8";"    33.1";"26.8";"6.4";"   173.0";"    73.2"
"14";"T001038";"10000";"MW00000";"1995JJ00";"     3.2";"    64.4";"    32.5";"26.2";"6.2";"   173.1";"    73.3"
"15";"T001038";"10000";"MW00000";"1996JJ00";"     3.8";"    62.5";"    33.7";"27.4";"6.3";"   173.3";"    73.5"
"16";"T001038";"10000";"MW00000";"1997JJ00";"     3.0";"    62.2";"    34.8";"27.6";"7.2";"   173.6";"    74.4"
"17";"T001038";"10000";"MW00000";"1998JJ00";"     2.9";"    62.4";"    34.7";"27.4";"7.3";"   173.6";"    74.3"
"18";"T001038";"10000";"MW00000";"1999JJ00";"     2.9";"    60.9";"    36.2";"28.7";"7.6";"   173.7";"    75.0"
"19";"T001038";"10000";"MW00000";"2000JJ00";"     2.7";"    59.6";"    37.7";"29.6";"8.1";"   174.0";"    75.6"
"20";"T001038";"10000";"MW00000";"2001JJ00";"     2.6";"    59.0";"    38.4";"30.1";"8.2";"   174.0";"    75.9"
"21";"T001038";"10000";"MW00000";"2002JJ00";"     2.8";"    58.7";"    38.5";"29.9";"8.6";"   173.8";"    75.8"
"22";"T001038";"10000";"MW00000";"2003JJ00";"     2.5";"    58.3";"    39.2";"29.8";"9.4";"   174.0";"    76.2"
"23";"T001038";"10000";"MW00000";"2004JJ00";"     2.5";"    57.4";"    40.1";"30.4";"9.7";"   173.9";"    76.5"
"24";"T001038";"10000";"MW00000";"2005JJ00";"     2.5";"    58.6";"    38.9";"29.5";"9.3";"   174.0";"    76.2"
"25";"T001038";"10000";"MW00000";"2006JJ00";"     2.5";"    57.8";"    39.8";"30.0";"9.8";"   174.1";"    76.6"
"26";"T001038";"10000";"MW00000";"2007JJ00";"     2.5";"    58.5";"    39.0";"29.2";"9.8";"   174.1";"    76.5"
"27";"T001038";"10000";"MW00000";"2008JJ00";"     2.5";"    57.0";"    40.5";"30.7";"9.8";"   174.2";"    76.8"
"28";"T001038";"10000";"MW00000";"2009JJ00";"     2.4";"    56.7";"    40.8";"30.6";"10.2";"   174.1";"    76.9"
"29";"T001038";"10000";"MW00000";"2010JJ00";"     2.3";"    56.0";"    41.7";"31.9";"9.8";"   174.2";"    77.0"
"30";"T001038";"10000";"MW00000";"2011JJ00";"     2.2";"    56.1";"    41.7";"31.9";"9.8";"   174.2";"    77.0"
"31";"T001038";"10000";"MW00000";"2012JJ00";"     2.3";"    56.2";"    41.5";"31.3";"10.2";"   174.2";"    77.0"
"32";"T001038";"10000";"MW00000";"2013JJ00";"     2.5";"    55.9";"    41.6";"31.5";"10.1";"   174.1";"    77.0"
"33";"T001038";"10000";"MW00000";"2014JJ00";"     2.0";"    54.9";"    43.1";"31.5";"11.7";"   174.0";"    77.7"
"34";"T001038";"10000";"MW00000";"2015JJ00";"     2.3";"    54.7";"    43.0";"31.4";"11.6";"   174.0";"    77.5"
"35";"T001038";"10000";"MW00000";"2016JJ00";"     2.4";"    54.3";"    43.3";"31.1";"12.3";"   174.1";"    77.8"
"36";"T001038";"10000";"MW00000";"2017JJ00";"     2.3";"    54.7";"    43.1";"31.0";"12.1";"   174.1";"    78.0"
"37";"T001038";"10000";"MW00000";"2018JJ00";"     2.2";"    53.9";"    43.9";"31.0";"13.0";"   174.2";"    78.4"
"38";"T001038";"10000";"MW00000";"2019JJ00";"     2.5";"    53.4";"    44.1";"31.4";"12.7";"   174.2";"    78.2"
"39";"T001038";"10000";"MW00000";"1981X001";"     3.7";"    69.1";"    27.2";"22.9";"4.3";"   171.6";"    70.6"
"40";"T001038";"10000";"MW00000";"1985X001";"     3.8";"    68.0";"    28.2";"23.9";"4.3";"   172.1";"    71.2"
"41";"T001038";"10000";"MW00000";"1989X001";"     3.4";"    66.1";"    30.5";"25.1";"5.4";"   172.6";"    72.2"
"42";"T001038";"10000";"MW00000";"1993X001";"     3.4";"    63.9";"    32.7";"26.6";"6.1";"   173.1";"    73.2"
"43";"T001038";"10000";"MW00000";"1997X001";"     2.8";"    61.3";"    35.9";"28.3";"7.6";"   173.7";"    74.8"
"44";"T001038";"10000";"MW00000";"2001X001";"     2.6";"    58.3";"    39.1";"30.1";"9.0";"   173.9";"    76.1"
"45";"T001038";"10000";"MW00000";"2005X001";"     2.5";"    58.0";"    39.6";"29.9";"9.7";"   174.1";"    76.5"
"46";"T001038";"10000";"MW00000";"2009X001";"     2.3";"    56.3";"    41.4";"31.4";"10.0";"   174.2";"    77.0"
"47";"T001038";"10000";"MW00000";"2013X001";"     2.3";"    54.9";"    42.8";"31.4";"11.4";"   174.1";"    77.5"
"48";"T001038";"10000";"B000150";"1981JJ00";"     0.2";"     0.5";"     0.5";"0.4";"0.2";"     0.1";"     0.1"
"49";"T001038";"10000";"B000150";"1982JJ00";"     0.2";"     0.5";"     0.5";"0.4";"0.2";"     0.1";"     0.1"
"50";"T001038";"10000";"B000150";"1983JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.2";"     0.1";"     0.1"
"51";"T001038";"10000";"B000150";"1984JJ00";"     0.2";"     0.5";"     0.5";"0.4";"0.2";"     0.1";"     0.1"
"52";"T001038";"10000";"B000150";"1985JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.2";"     0.1";"     0.1"
"53";"T001038";"10000";"B000150";"1986JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.2";"     0.1";"     0.1"
"54";"T001038";"10000";"B000150";"1987JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.2";"     0.1";"     0.2"
"55";"T001038";"10000";"B000150";"1988JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.2";"     0.1";"     0.2"
"56";"T001038";"10000";"B000150";"1989JJ00";"     0.2";"     0.5";"     0.5";"0.5";"0.3";"     0.1";"     0.2"
