Geslacht;Regio1;Regio2;Regio3;Perioden;BevolkingOp1Januari
M;Nederland;Noord-Nederland;Groningen;1960JJ00;237382
M;Nederland;Noord-Nederland;Groningen;1961JJ00;238800
M;Nederland;Noord-Nederland;Groningen;1962JJ00;240944
M;Nederland;Noord-Nederland;Groningen;1963JJ00;243129
M;Nederland;Noord-Nederland;Groningen;1964JJ00;246036
M;Nederland;Noord-Nederland;Groningen;1965JJ00;249010
M;Nederland;Noord-Nederland;Groningen;1966JJ00;251627
M;Nederland;Noord-Nederland;Groningen;1967JJ00;254569
M;Nederland;Noord-Nederland;Groningen;1968JJ00;256256
M;Nederland;Noord-Nederland;Groningen;1969JJ00;257347
M;Nederland;Noord-Nederland;Groningen;1970JJ00;258930
M;Nederland;Noord-Nederland;Groningen;1971JJ00;261444
M;Nederland;Noord-Nederland;Groningen;1972JJ00;263306
M;Nederland;Noord-Nederland;Groningen;1973JJ00;265185
M;Nederland;Noord-Nederland;Groningen;1974JJ00;266182
M;Nederland;Noord-Nederland;Groningen;1975JJ00;267789
M;Nederland;Noord-Nederland;Groningen;1976JJ00;269622
M;Nederland;Noord-Nederland;Groningen;1977JJ00;271489
M;Nederland;Noord-Nederland;Groningen;1978JJ00;273061
M;Nederland;Noord-Nederland;Groningen;1979JJ00;274588
M;Nederland;Noord-Nederland;Groningen;1980JJ00;275552
M;Nederland;Noord-Nederland;Groningen;1981JJ00;276790
M;Nederland;Noord-Nederland;Groningen;1982JJ00;277670
M;Nederland;Noord-Nederland;Groningen;1983JJ00;278418
M;Nederland;Noord-Nederland;Groningen;1984JJ00;278747
M;Nederland;Noord-Nederland;Groningen;1985JJ00;278166
M;Nederland;Noord-Nederland;Groningen;1986JJ00;277352
M;Nederland;Noord-Nederland;Groningen;1987JJ00;276212
M;Nederland;Noord-Nederland;Groningen;1988JJ00;275344
M;Nederland;Noord-Nederland;Groningen;1989JJ00;274435
M;Nederland;Noord-Nederland;Groningen;1990JJ00;273871
M;Nederland;Noord-Nederland;Groningen;1991JJ00;274139
M;Nederland;Noord-Nederland;Groningen;1992JJ00;274276
M;Nederland;Noord-Nederland;Groningen;1993JJ00;274289
M;Nederland;Noord-Nederland;Groningen;1994JJ00;275067
M;Nederland;Noord-Nederland;Groningen;1995JJ00;275964
M;Nederland;Noord-Nederland;Groningen;1996JJ00;276247
M;Nederland;Noord-Nederland;Groningen;1997JJ00;276380
M;Nederland;Noord-Nederland;Groningen;1998JJ00;276235
M;Nederland;Noord-Nederland;Groningen;1999JJ00;277261
M;Nederland;Noord-Nederland;Groningen;2000JJ00;278691
M;Nederland;Noord-Nederland;Groningen;2001JJ00;280618
M;Nederland;Noord-Nederland;Groningen;2002JJ00;282889
M;Nederland;Noord-Nederland;Groningen;2003JJ00;284313
M;Nederland;Noord-Nederland;Groningen;2004JJ00;285230
M;Nederland;Noord-Nederland;Groningen;2005JJ00;285544
M;Nederland;Noord-Nederland;Groningen;2006JJ00;285089
M;Nederland;Noord-Nederland;Groningen;2007JJ00;284791
M;Nederland;Noord-Nederland;Groningen;2008JJ00;284678
M;Nederland;Noord-Nederland;Groningen;2009JJ00;284981
M;Nederland;Noord-Nederland;Groningen;2010JJ00;286495
M;Nederland;Noord-Nederland;Groningen;2011JJ00;287924
M;Nederland;Noord-Nederland;Groningen;2012JJ00;288754
M;Nederland;Noord-Nederland;Groningen;2013JJ00;289275
M;Nederland;Noord-Nederland;Groningen;2014JJ00;289820
M;Nederland;Noord-Nederland;Groningen;2015JJ00;290840
M;Nederland;Noord-Nederland;Groningen;2016JJ00;291058
M;Nederland;Noord-Nederland;Friesland;1960JJ00;240066
M;Nederland;Noord-Nederland;Friesland;1961JJ00;240821
M;Nederland;Noord-Nederland;Friesland;1962JJ00;242317
M;Nederland;Noord-Nederland;Friesland;1963JJ00;244328
M;Nederland;Noord-Nederland;Friesland;1964JJ00;246341
M;Nederland;Noord-Nederland;Friesland;1965JJ00;248755
M;Nederland;Noord-Nederland;Friesland;1966JJ00;251474
M;Nederland;Noord-Nederland;Friesland;1967JJ00;253995
M;Nederland;Noord-Nederland;Friesland;1968JJ00;256537
M;Nederland;Noord-Nederland;Friesland;1969JJ00;258891
M;Nederland;Noord-Nederland;Friesland;1970JJ00;261471
M;Nederland;Noord-Nederland;Friesland;1971JJ00;263858
M;Nederland;Noord-Nederland;Friesland;1972JJ00;266816
M;Nederland;Noord-Nederland;Friesland;1973JJ00;269806
M;Nederland;Noord-Nederland;Friesland;1974JJ00;273544
M;Nederland;Noord-Nederland;Friesland;1975JJ00;276710
M;Nederland;Noord-Nederland;Friesland;1976JJ00;280110
M;Nederland;Noord-Nederland;Friesland;1977JJ00;282531
